STAT;LAT;LONG;h;WEEK
AACR;9.93884993578608;-84.1179167757399;1123.94823601935;2250
AB21;51.8641481534392;-176.66264976713;59.4065268160775;2250
AB43;58.1988412566846;-136.640812818389;27.2241815309972;2250
ABCC;4.66123576423802;-74.126922303232;2576.19484638982;2250
ABEC;-1.26860408724358;-78.6276541144773;2773.6363364961;2250
ABMF;16.2623072147558;-61.5275351136742;-25.5658429395407;2250
ABPD;4.47656796216035;-74.0988681839429;2958.38822184596;2250
ABPW;4.6895708137403;-73.9951146383871;2837.08251835406;2228
ABRA;-22.722033686479;-65.697308459655;3530.09611655585;2090
AC24;58.6815694493371;-156.652757170334;36.3713859422132;2250
AC58;57.1560854494335;-170.21782067004;19.3767931228504;2247
ACSO;40.2323610271147;-82.9815341199213;248.153803235851;2250
ADIS;9.03513757813539;38.7663065178767;2439.11588704679;2147
AGCA;8.31504807060073;-73.5954183965986;200.861852667294;2245
AGGO;-34.8737064302607;-58.1398571571415;39.7039207145572;2250
ALAR;-9.74922192395738;-36.6534207466125;266.214938062243;2250
ALBE;7.76052023207233;-73.389435994258;132.450802695937;2250
ALBH;48.3897799715356;-123.487472245752;31.7677160771564;2190
ALEC;-2.20215407724934;-78.8474061701527;2383.65637126006;2250
ALGO;45.9558007401729;-78.0713719274182;200.957601389848;2250
ALMA;-9.55470886719594;-35.7771019766265;84.8252549888566;2250
ALTA;-43.8840974754502;-68.4135157177286;275.720254039392;2242
ALUM;-27.3234254364313;-66.5966283713428;2736.94584481698;2250
AM04;-4.59814676396196;-77.8636760718663;201.061399352737;2250
AMBC;-0.969286776389768;-62.9262790175359;34.8865340966731;2047
AMCO;-4.87198682559561;-65.3339795479123;75.9023030400276;2250
AMCR;-4.0858204389804;-63.142204340968;42.3805715693161;2250
AMHA;-7.51674708532688;-63.0284018686732;69.79638509918;2250
AMPR;-2.63122213214951;-56.7343365602047;9.78549306094646;2028
AMPT;-2.65423265676934;-56.748369779182;15.9039767840877;2250
AMTE;-3.34568786822973;-64.706650797735;45.8237393852323;2250
AMTG;-4.23051101124102;-69.9147196190967;98.1691559208557;2250
AMUA;-3.09183958116666;-60.0181576772007;27.4722382705659;2250
AN02;-9.12842463252558;-78.5297779511152;38.9790272414684;2250
ANDS;12.5863472229097;-81.7007293168801;16.2039995919913;2116
ANGO;-37.7958841673096;-72.6917109173658;93.5366412866861;2088
ANTC;-37.3386980364258;-71.5320638069632;745.617136068642;2250
ANTF;-23.7015252709296;-70.4200724707534;68.7152103651315;2250
AOML;25.7346915962163;-80.1621990657321;0.0951864747330546;1265
AP01;-13.6383642376351;-72.8781768598136;2419.07685787883;2250
APLJ;-0.821998883373063;-52.5155938723126;35.9753557872027;2250
APMA;0.0470374663030958;-51.0971367874499;-11.1704104458913;2250
APS1;-0.0595111055232737;-51.1664980421635;-12.7347749443725;2250
APSA;-0.0602556665297989;-51.1674704918178;-11.0465370249003;1878
APTO;7.8777887825001;-76.6323892117287;45.092287116684;2250
AQ01;-16.4214929401309;-71.5074911575133;2455.03994137608;2250
ARCA;7.08427744460523;-70.7585339220852;133.314179695211;2250
AREQ;-16.4655152209814;-71.4927956925211;2488.93337427173;2250
ARTU;56.4298224843656;58.5604637321437;247.569213455543;2190
ASC1;-7.95121328842899;-14.4120725166122;105.106418711133;1443
ASCG;-7.91628029030935;-14.3326648915561;37.9470402924344;2250
ASPA;-14.3260893325399;-170.722443726311;53.4572706818581;2250
ATW2;61.5977525633183;-149.132297396133;97.1277261590585;2250
AUTF;-54.8395231856182;-68.3035645472797;71.9271436873823;2250
AV09;53.8756316446574;-166.54183786978;105.723322704434;2250
AY02;-15.017057606883;-73.7812959101461;3224.06434672046;2250
AZUE;7.95568914398468;-80.4325128183041;55.159157326445;2190
AZUL;-36.7670204341953;-59.881281029672;158.291427168064;2250
BABJ;-13.2614571761883;-43.5470662545085;428.319781924598;2250
BABR;-12.15004029898;-44.9948959318646;443.067636760883;2250
BADG;51.7697043019911;102.234990047326;811.40831285622;2190
BAIL;-14.7966000171892;-39.1723860387285;44.6794751100242;2250
BAIR;-11.3056452115417;-41.8585201996203;723.909468351863;2104
BAIT;-12.5213445341357;-40.2886573637118;267.517458540387;2232
BAKE;64.3178193278524;-96.0023519017168;4.62680793739855;2250
BANS;8.61265214984104;-70.2386761234474;204.98799800314;1503
BAPA;-9.39014439961327;-38.2154629841021;245.142177641392;2250
BARI;15.8018444372903;-91.3148030729451;1461.27947970293;1863
BATF;-17.5548687955887;-39.7433453846879;108.816755948588;2234
BAVC;-14.8883096296572;-40.8027032694368;875.17985279765;2250
BCAR;-37.7612317807538;-58.301095851676;150.399653823115;2250
BCH1;-41.1467713217021;-71.2989128525502;886.421848406084;2250
BDOS;13.0879549160606;-59.6090960866529;-38.6314184591174;1770
BECE;9.70210020536123;-73.279261536208;120.766659558751;2250
BEJA;7.06063702055128;-73.8755913776449;93.460462057963;2240
BELE;-1.40879273811131;-48.4625505091398;9.05922804493457;2250
BEPA;-1.46080597635344;-48.4414078402096;-17.8379291500896;2250
BERR;6.49268558992414;-74.4103090919231;159.079031840898;2222
BFNY;42.8775573831304;-78.8904486014836;145.448785122484;2250
BHEC;-1.79796060373901;-79.5309792199004;55.9457806628197;2250
BJCO;6.38466676302783;2.45002454968421;30.69783441443;2216
BLPZ;-16.5298501211486;-68.1682816697765;4090.65696530696;2250
BNGA;7.10488974540286;-73.1237423616901;959.490169035271;2250
BOAV;2.84518488871777;-60.7011157511041;69.510834489949;2250
BOGA;4.63868335467774;-74.0799496362155;2609.71774147544;2250
BOGT;4.64007528665;-74.0809396343131;2576.20794467349;2250
BOMJ;-13.2555564506182;-43.4217358677267;419.390484279022;1882
BOR1;52.276958972065;17.073461412146;124.356341409497;2190
BOSC;9.96689257391602;-73.886227078804;85.5699061779305;2250
BQLA;11.0197106717664;-74.8496397524513;47.5387475611642;2250
BRAZ;-15.947472731732;-47.8778697890809;1106.00226163492;2250
BRBR;9.6200198233854;-82.8179334182873;44.8313116142526;2250
BREW;48.1315223480194;-119.682636826666;238.595646709204;2250
BRFT;-3.87744475538373;-38.4255380299471;21.6766777196899;2250
BRMU;32.3704000603453;-64.6962751480788;-11.6440239194781;2123
BSUC;-19.0062070490942;-65.3026191201896;2969.98866145685;2250
BUCA;7.11893498309577;-73.1192803358436;1005.55090859532;1530
BUE2;-34.5737005954982;-58.519299463209;48.6574029698968;1645
BUEN;3.88202478823857;-77.0104197051962;57.7549817599356;2250
CALI;3.37578864192887;-76.5325641587604;1027.48695802968;2240
CALL;-12.0628739339526;-77.1493182780529;33.820376208052;2005
CAM2;19.8444271161781;-90.5401657245179;12.1738283550367;1509
CAPO;10.3706034928002;-83.7269167169651;70.3048491021618;2250
CART;10.3913360317762;-75.5338516415805;4.02628757059574;2246
CASI;7.98884124946871;-75.2000330050217;69.1000564834103;2237
CATA;-28.4709836034892;-65.7741207999209;547.138743554242;2250
CATR;14.4628645485382;-89.7426445950596;688.279028151184;1884
CBMB;-17.4165901391762;-66.2588263029802;2620.3071738882;2250
CBSB;19.7120086325689;-79.8330516938148;-7.18909494113177;1786
CCJ2;27.0675329840119;142.195023691492;104.219134522602;2190
CCJM;27.0955831519377;142.18457774158;208.833050653338;1626
CEEC;-4.10092123695245;-79.9554524947675;2045.15844927542;2250
CEEU;-3.8775461558344;-38.4255414451505;21.7339421445504;2250
CEFE;-20.3107918834265;-40.3194557384533;14.2751494701952;2250
CEFT;-3.71080912008048;-38.472918666216;4.89463903661817;2250
CESB;-3.68126728786203;-40.3374876702372;56.802241797559;2250
CFAG;-31.6021667766866;-68.2326480777002;702.553323512897;1614
CHAC;-27.4204381613885;-58.9596934983884;77.9659896548837;2250
CHAT;-43.9557830610377;-176.565845827589;57.9703589593992;1678
CHEC;-0.339266543407643;-77.8144448182656;1643.65535245091;2250
CHEP;9.17055871501715;-79.1044921009957;37.3990407520905;2250
CHET;18.4952767765961;-88.299225905611;2.92835551314056;2250
CHIH;28.6621922378047;-106.086740632184;1413.17688417062;1879
CHIS;15.8122547989823;-90.2913551308416;241.978241242468;1873
CHLS;11.0313150766444;-84.7100572063631;51.3928805291653;2250
CHPI;-22.6871436733807;-44.985159089264;617.40506166406;2250
CHTI;-43.7354694201644;-176.617122764785;75.6724476357922;2250
CHUR;58.7590771810454;-94.0887334410269;-19.1914842845872;2250
CIC1;31.8706789878927;-116.665763091123;64.3204180849716;1562
CIQE;10.3225870545438;-84.4308910853314;680.649795498699;2250
CJ01;-7.14686113865614;-78.5093753030183;2731.04431236628;2250
CKIS;-21.2010214052436;-159.800621182399;18.4095569439232;2250
CLEC;-4.10305654398718;-79.9555548395734;2024.34241213184;1991
CN19;12.6118493744278;-70.0485002520308;-0.365494857542217;2250
CN30;11.9935516593219;-83.7720480796114;30.0529961278662;2019
CN39;10.2064805430257;-70.5236555846206;542.241157093085;2020
CN41;8.94345588358914;-68.0414957880358;81.2355918046087;2250
COCO;-12.188339078308;96.8339761055169;-35.3217169865966;2190
COEC;0.716068548847484;-77.7869850348297;3656.940313695;2250
COL2;19.244442114503;-103.701884385033;528.763971392065;2250
CONZ;-36.8437652323592;-73.0255156892949;180.599405615591;1839
COPO;-27.3845250479496;-70.3382343450357;479.085907639004;1856
CORD;-31.5284331545682;-64.4700489773257;746.831204923801;2250
CORU;-19.0002788259166;-57.6296153903178;156.602212224156;2250
COYQ;-45.5143397425749;-71.8920807040068;476.171178777702;2090
CPVG;16.7320637099413;-22.9349309632634;94.0545532051474;2250
CRAT;-7.23801607235262;-39.4156061775915;436.042603625916;2250
CRCS;10.5025307078552;-66.9135161159783;913.032413228415;1802
CRLP;9.95089067498697;-84.1250191385089;1084.35681299865;2250
CRO1;17.7569003022952;-64.5843179702842;-31.9707393804565;2250
CRUZ;-7.61116024441606;-72.6721107482551;236.001472683623;2250
CS01;-13.5242551683374;-71.9625948259194;3410.01995943766;2250
CSLO;-31.7848849774835;-69.302214149263;2638.83757473808;2250
CUCU;7.89846011973749;-72.4879392164589;311.158122755587;2250
CUEC;-2.88329573282961;-79.0024973952061;2631.1475460669;2250
CUIB;-15.5552604946192;-56.0698672072468;237.443656554446;2250
CULC;24.7950845896112;-107.412597930503;36.1253938926384;2250
CULI;24.7985521702714;-107.383942863155;75.3917882358655;1435
CUM3;10.428900561396;-64.195029154012;10.1210697349161;1802
CXEC;-0.935219162342478;-78.6148353690419;2808.4791161688;2250
CYNE;4.82195586636245;-52.3654149668079;-22.7440901640803;2250
DAEJ;36.3994270181565;127.374485130416;116.84646210447;2190
DARI;8.65838149583072;-78.1540779073817;36.3530278783292;2163
DARW;-12.8436956790339;131.132744933152;125.10226036422;2190
DAV1;-68.577323865133;77.972612008578;44.3870954886079;2190
DAVI;8.42547412046558;-82.4338014207889;67.2055468037724;2250
DGAR;-7.26968025958592;72.3702460917838;-64.9324108930305;2190
DORA;5.45384654433877;-74.663312866021;204.471242589876;2250
DPEC;-2.71397527750887;-80.3016879131459;24.1006300626323;2250
DRAO;49.3226174035188;-119.624985306602;541.88262616843;2190
DUBO;50.2588082792327;-95.8661850033811;245.281840401702;2250
EACH;-23.481547881523;-46.4996977896074;744.239879444242;2250
EBPT;7.59181587533205;-74.7914901941259;119.894318527542;2242
EBY1;-27.368952306368;-55.8921752101824;140.322881156579;2250
EBYP;-27.3689425212239;-55.89217494919;139.832944142632;2164
ECEC;-0.271843940506979;-79.4518713299237;284.684906799346;2250
EESC;-22.004946290879;-47.8991812528608;824.573832469061;2250
EISL;-27.1482092645573;-109.383289505077;114.510959581472;1307
ELEN;16.9160561282817;-89.8676144596474;118.125420683064;1884
EMIB;-16.5322262254387;-68.0817018362825;3411.35726668779;2250
EPEC;-0.314889412583185;-78.4463232102135;2522.96390290465;2250
EREC;-1.67117000206663;-78.6512209549699;2801.35400653444;2250
ESEC;0.892266698658343;-79.6197377684796;46.9610361009836;2250
ESMR;0.934649173431889;-79.7243718786446;251.699335333891;1878
ESNV;-18.7135125058692;-40.3777116832464;73.4307348225266;2250
ESQU;-42.9171119339284;-71.3234013728406;589.434134189039;2250
ESTI;13.0995359514412;-86.3621275739366;852.663759947754;1207
ETCG;9.99948459272595;-84.1058960878061;1193.61119348556;2078
EUR2;79.988945780886;-85.937610469667;29.0675682015717;2250
EXU0;23.5640495097287;-75.8734024020797;-20.068269838579;1855
FAIR;64.9779953203319;-147.499242157552;319.045463697053;2250
FALK;-51.6936505346527;-57.8740673261001;50.8175120884553;2250
FLF1;25.6153500289446;-80.3860926460292;-22.0829519238323;2236
FLIN;54.7255830106052;-101.978039029136;311.525094571523;2250
FLOR;1.62026334700062;-75.6045022326994;314.230284145102;1779
FOEC;-0.463318117583858;-76.989915881086;286.346445389092;2250
